web-scraper-order,web-scraper-start-url,pokemon_info
"1707411951-150","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#150
 Tropius
 Grass · Flying"
"1707411951-151","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#151
 Chimecho
 Psychic"
"1707411951-152","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#152
 Absol
 Dark"
"1707411951-153","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#153
 Vulpix
 Fire"
"1707411951-154","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#154
 Ninetales
 Fire"
"1707411951-155","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#155
 Pichu
 Electric"
"1707411951-156","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#156
 Pikachu
 Electric"
"1707411951-157","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#157
 Raichu
 Electric"
"1707411951-158","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#158
 Psyduck
 Water"
"1707411951-159","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#159
 Golduck
 Water"
"1707411951-160","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#160
 Wynaut
 Psychic"
"1707411951-161","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#161
 Wobbuffet
 Psychic"
"1707411951-162","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#162
 Natu
 Psychic · Flying"
"1707411951-163","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#163
 Xatu
 Psychic · Flying"
"1707411951-164","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#164
 Girafarig
 Normal · Psychic"
"1707411951-165","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#165
 Phanpy
 Ground"
"1707411951-166","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#166
 Donphan
 Ground"
"1707411951-167","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#167
 Pinsir
 Bug"
"1707411951-168","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#168
 Heracross
 Bug · Fighting"
"1707411951-169","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#169
 Rhyhorn
 Ground · Rock"
"1707411951-170","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#170
 Rhydon
 Ground · Rock"
"1707411951-171","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#171
 Snorunt
 Ice"
"1707411951-172","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#172
 Glalie
 Ice"
"1707411951-173","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#173
 Spheal
 Ice · Water"
"1707411951-174","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#174
 Sealeo
 Ice · Water"
"1707411951-175","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#175
 Walrein
 Ice · Water"
"1707411951-176","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#176
 Clamperl
 Water"
"1707411951-177","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#177
 Huntail
 Water"
"1707411951-178","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#178
 Gorebyss
 Water"
"1707411951-179","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#179
 Relicanth
 Water · Rock"
"1707411951-180","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#180
 Corsola
 Water · Rock"
"1707411951-181","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#181
 Chinchou
 Water · Electric"
"1707411951-182","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#182
 Lanturn
 Water · Electric"
"1707411951-183","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#183
 Luvdisc
 Water"
"1707411951-184","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#184
 Horsea
 Water"
"1707411951-185","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#185
 Seadra
 Water"
"1707411951-186","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#186
 Kingdra
 Water · Dragon"
"1707411951-187","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#187
 Bagon
 Dragon"
"1707411951-188","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#188
 Shelgon
 Dragon"
"1707411951-189","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#189
 Salamence
 Dragon · Flying"
"1707411951-190","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#190
 Beldum
 Steel · Psychic"
"1707411951-191","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#191
 Metang
 Steel · Psychic"
"1707411951-192","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#192
 Metagross
 Steel · Psychic"
"1707411951-193","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#193
 Regirock
 Rock"
"1707411951-194","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#194
 Regice
 Ice"
"1707411951-195","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#195
 Registeel
 Steel"
"1707411951-196","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#196
 Latias
 Dragon · Psychic"
"1707411951-197","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#197
 Latios
 Dragon · Psychic"
"1707411951-198","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#198
 Kyogre
 Water"
"1707411951-199","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#199
 Groudon
 Ground"
"1707411951-200","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#200
 Rayquaza
 Dragon · Flying"
"1707411951-201","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#201
 Jirachi
 Steel · Psychic"
"1707411951-202","https://pokemondb.net/pokedex/game/ruby-sapphire-emerald","#202
 Deoxys
 Psychic"
