web-scraper-order,web-scraper-start-url,PokeID,Name,Total,HitPts,PhysAtk,PhysDef,SpecAtk,SpecDef,Speed
"1707414551-34","https://pokemondb.net/pokedex/all","0025","Pikachu
 Partner Pikachu","430","45","80","50","75","60","120"
"1707414551-35","https://pokemondb.net/pokedex/all","0026","Raichu","485","60","90","55","90","80","110"
"1707414551-36","https://pokemondb.net/pokedex/all","0026","Raichu
 Alolan Raichu","485","60","85","50","95","85","110"
"1707414551-37","https://pokemondb.net/pokedex/all","0027","Sandshrew","300","50","75","85","20","30","40"
"1707414551-38","https://pokemondb.net/pokedex/all","0027","Sandshrew
 Alolan Sandshrew","300","50","75","90","10","35","40"
"1707414551-39","https://pokemondb.net/pokedex/all","0028","Sandslash","450","75","100","110","45","55","65"
"1707414551-40","https://pokemondb.net/pokedex/all","0028","Sandslash
 Alolan Sandslash","450","75","100","120","25","65","65"
"1707414551-41","https://pokemondb.net/pokedex/all","0029","Nidoran♀","275","55","47","52","40","40","41"
"1707414551-42","https://pokemondb.net/pokedex/all","0030","Nidorina","365","70","62","67","55","55","56"
"1707414551-43","https://pokemondb.net/pokedex/all","0031","Nidoqueen","505","90","92","87","75","85","76"
"1707414551-44","https://pokemondb.net/pokedex/all","0032","Nidoran♂","273","46","57","40","40","40","50"
"1707414551-45","https://pokemondb.net/pokedex/all","0033","Nidorino","365","61","72","57","55","55","65"
"1707414551-46","https://pokemondb.net/pokedex/all","0034","Nidoking","505","81","102","77","85","75","85"
"1707414551-47","https://pokemondb.net/pokedex/all","0035","Clefairy","323","70","45","48","60","65","35"
"1707414551-48","https://pokemondb.net/pokedex/all","0036","Clefable","483","95","70","73","95","90","60"
"1707414551-49","https://pokemondb.net/pokedex/all","0037","Vulpix","299","38","41","40","50","65","65"
"1707414551-50","https://pokemondb.net/pokedex/all","0037","Vulpix
 Alolan Vulpix","299","38","41","40","50","65","65"
"1707414551-51","https://pokemondb.net/pokedex/all","0038","Ninetales","505","73","76","75","81","100","100"
"1707414551-52","https://pokemondb.net/pokedex/all","0038","Ninetales
 Alolan Ninetales","505","73","67","75","81","100","109"
"1707414551-53","https://pokemondb.net/pokedex/all","0039","Jigglypuff","270","115","45","20","45","25","20"
"1707414551-54","https://pokemondb.net/pokedex/all","0040","Wigglytuff","435","140","70","45","85","50","45"
"1707414551-55","https://pokemondb.net/pokedex/all","0041","Zubat","245","40","45","35","30","40","55"
"1707414551-56","https://pokemondb.net/pokedex/all","0042","Golbat","455","75","80","70","65","75","90"
"1707414551-57","https://pokemondb.net/pokedex/all","0043","Oddish","320","45","50","55","75","65","30"
"1707414551-58","https://pokemondb.net/pokedex/all","0044","Gloom","395","60","65","70","85","75","40"
"1707414551-59","https://pokemondb.net/pokedex/all","0045","Vileplume","490","75","80","85","110","90","50"
"1707414551-60","https://pokemondb.net/pokedex/all","0046","Paras","285","35","70","55","45","55","25"
"1707414551-61","https://pokemondb.net/pokedex/all","0047","Parasect","405","60","95","80","60","80","30"
"1707414551-62","https://pokemondb.net/pokedex/all","0048","Venonat","305","60","55","50","40","55","45"
"1707414551-63","https://pokemondb.net/pokedex/all","0049","Venomoth","450","70","65","60","90","75","90"
"1707414551-64","https://pokemondb.net/pokedex/all","0050","Diglett","265","10","55","25","35","45","95"
"1707414551-65","https://pokemondb.net/pokedex/all","0050","Diglett
 Alolan Diglett","265","10","55","30","35","45","90"
"1707414551-66","https://pokemondb.net/pokedex/all","0051","Dugtrio","425","35","100","50","50","70","120"
"1707414551-67","https://pokemondb.net/pokedex/all","0051","Dugtrio
 Alolan Dugtrio","425","35","100","60","50","70","110"
"1707414551-68","https://pokemondb.net/pokedex/all","0052","Meowth","290","40","45","35","40","40","90"
"1707414551-69","https://pokemondb.net/pokedex/all","0052","Meowth
 Alolan Meowth","290","40","35","35","50","40","90"
"1707414551-70","https://pokemondb.net/pokedex/all","0052","Meowth
 Galarian Meowth","290","50","65","55","40","40","40"
"1707414551-71","https://pokemondb.net/pokedex/all","0053","Persian","440","65","70","60","65","65","115"
"1707414551-72","https://pokemondb.net/pokedex/all","0053","Persian
 Alolan Persian","440","65","60","60","75","65","115"
"1707414551-73","https://pokemondb.net/pokedex/all","0054","Psyduck","320","50","52","48","65","50","55"
"1707414551-74","https://pokemondb.net/pokedex/all","0055","Golduck","500","80","82","78","95","80","85"
"1707414551-75","https://pokemondb.net/pokedex/all","0056","Mankey","305","40","80","35","35","45","70"
"1707414551-76","https://pokemondb.net/pokedex/all","0057","Primeape","455","65","105","60","60","70","95"
"1707414551-77","https://pokemondb.net/pokedex/all","0058","Growlithe","350","55","70","45","70","50","60"
"1707414551-78","https://pokemondb.net/pokedex/all","0058","Growlithe
 Hisuian Growlithe","350","60","75","45","65","50","55"
"1707414551-79","https://pokemondb.net/pokedex/all","0059","Arcanine","555","90","110","80","100","80","95"
"1707414551-80","https://pokemondb.net/pokedex/all","0059","Arcanine
 Hisuian Arcanine","555","95","115","80","95","80","90"
"1707414551-81","https://pokemondb.net/pokedex/all","0060","Poliwag","300","40","50","40","40","40","90"
"1707414551-82","https://pokemondb.net/pokedex/all","0061","Poliwhirl","385","65","65","65","50","50","90"
"1707414551-83","https://pokemondb.net/pokedex/all","0062","Poliwrath","510","90","95","95","70","90","70"
"1707414551-84","https://pokemondb.net/pokedex/all","0063","Abra","310","25","20","15","105","55","90"
"1707414551-85","https://pokemondb.net/pokedex/all","0064","Kadabra","400","40","35","30","120","70","105"
"1707414551-86","https://pokemondb.net/pokedex/all","0065","Alakazam","500","55","50","45","135","95","120"
"1707414551-87","https://pokemondb.net/pokedex/all","0065","Alakazam
 Mega Alakazam","600","55","50","65","175","105","150"
"1707414551-88","https://pokemondb.net/pokedex/all","0066","Machop","305","70","80","50","35","35","35"
"1707414551-89","https://pokemondb.net/pokedex/all","0067","Machoke","405","80","100","70","50","60","45"
"1707414551-90","https://pokemondb.net/pokedex/all","0068","Machamp","505","90","130","80","65","85","55"
"1707414551-91","https://pokemondb.net/pokedex/all","0069","Bellsprout","300","50","75","35","70","30","40"
"1707414551-92","https://pokemondb.net/pokedex/all","0070","Weepinbell","390","65","90","50","85","45","55"
"1707414551-93","https://pokemondb.net/pokedex/all","0071","Victreebel","490","80","105","65","100","70","70"
"1707414551-94","https://pokemondb.net/pokedex/all","0072","Tentacool","335","40","40","35","50","100","70"
"1707414551-95","https://pokemondb.net/pokedex/all","0073","Tentacruel","515","80","70","65","80","120","100"
"1707414551-96","https://pokemondb.net/pokedex/all","0074","Geodude","300","40","80","100","30","30","20"
"1707414551-97","https://pokemondb.net/pokedex/all","0074","Geodude
 Alolan Geodude","300","40","80","100","30","30","20"
"1707414551-98","https://pokemondb.net/pokedex/all","0075","Graveler","390","55","95","115","45","45","35"
"1707414551-99","https://pokemondb.net/pokedex/all","0075","Graveler
 Alolan Graveler","390","55","95","115","45","45","35"
"1707414551-100","https://pokemondb.net/pokedex/all","0076","Golem","495","80","120","130","55","65","45"
"1707414551-101","https://pokemondb.net/pokedex/all","0076","Golem
 Alolan Golem","495","80","120","130","55","65","45"
"1707414551-102","https://pokemondb.net/pokedex/all","0077","Ponyta","410","50","85","55","65","65","90"
"1707414551-103","https://pokemondb.net/pokedex/all","0077","Ponyta
 Galarian Ponyta","410","50","85","55","65","65","90"
"1707414551-104","https://pokemondb.net/pokedex/all","0078","Rapidash","500","65","100","70","80","80","105"
"1707414551-105","https://pokemondb.net/pokedex/all","0078","Rapidash
 Galarian Rapidash","500","65","100","70","80","80","105"
"1707414551-106","https://pokemondb.net/pokedex/all","0079","Slowpoke","315","90","65","65","40","40","15"
"1707414551-107","https://pokemondb.net/pokedex/all","0079","Slowpoke
 Galarian Slowpoke","315","90","65","65","40","40","15"
"1707414551-108","https://pokemondb.net/pokedex/all","0080","Slowbro","490","95","75","110","100","80","30"
"1707414551-109","https://pokemondb.net/pokedex/all","0080","Slowbro
 Mega Slowbro","590","95","75","180","130","80","30"
"1707414551-110","https://pokemondb.net/pokedex/all","0080","Slowbro
 Galarian Slowbro","490","95","100","95","100","70","30"
"1707414551-111","https://pokemondb.net/pokedex/all","0081","Magnemite","325","25","35","70","95","55","45"
"1707414551-112","https://pokemondb.net/pokedex/all","0082","Magneton","465","50","60","95","120","70","70"
"1707414551-113","https://pokemondb.net/pokedex/all","0083","Farfetch'd","377","52","90","55","58","62","60"
"1707414551-114","https://pokemondb.net/pokedex/all","0083","Farfetch'd
 Galarian Farfetch'd","377","52","95","55","58","62","55"
"1707414551-115","https://pokemondb.net/pokedex/all","0084","Doduo","310","35","85","45","35","35","75"
"1707414551-116","https://pokemondb.net/pokedex/all","0085","Dodrio","470","60","110","70","60","60","110"
"1707414551-117","https://pokemondb.net/pokedex/all","0086","Seel","325","65","45","55","45","70","45"
"1707414551-118","https://pokemondb.net/pokedex/all","0087","Dewgong","475","90","70","80","70","95","70"
"1707414551-119","https://pokemondb.net/pokedex/all","0088","Grimer","325","80","80","50","40","50","25"
"1707414551-120","https://pokemondb.net/pokedex/all","0088","Grimer
 Alolan Grimer","325","80","80","50","40","50","25"
"1707414551-121","https://pokemondb.net/pokedex/all","0089","Muk","500","105","105","75","65","100","50"
"1707414551-122","https://pokemondb.net/pokedex/all","0089","Muk
 Alolan Muk","500","105","105","75","65","100","50"
"1707414551-123","https://pokemondb.net/pokedex/all","0090","Shellder","305","30","65","100","45","25","40"
"1707414551-124","https://pokemondb.net/pokedex/all","0091","Cloyster","525","50","95","180","85","45","70"
"1707414551-125","https://pokemondb.net/pokedex/all","0092","Gastly","310","30","35","30","100","35","80"
"1707414551-126","https://pokemondb.net/pokedex/all","0093","Haunter","405","45","50","45","115","55","95"
"1707414551-127","https://pokemondb.net/pokedex/all","0094","Gengar","500","60","65","60","130","75","110"
"1707414551-128","https://pokemondb.net/pokedex/all","0094","Gengar
 Mega Gengar","600","60","65","80","170","95","130"
"1707414551-129","https://pokemondb.net/pokedex/all","0095","Onix","385","35","45","160","30","45","70"
"1707414551-130","https://pokemondb.net/pokedex/all","0096","Drowzee","328","60","48","45","43","90","42"
"1707414551-131","https://pokemondb.net/pokedex/all","0097","Hypno","483","85","73","70","73","115","67"
"1707414551-132","https://pokemondb.net/pokedex/all","0098","Krabby","325","30","105","90","25","25","50"
"1707414551-133","https://pokemondb.net/pokedex/all","0099","Kingler","475","55","130","115","50","50","75"
"1707414551-134","https://pokemondb.net/pokedex/all","0100","Voltorb","330","40","30","50","55","55","100"
"1707414551-135","https://pokemondb.net/pokedex/all","0100","Voltorb
 Hisuian Voltorb","330","40","30","50","55","55","100"
"1707414551-136","https://pokemondb.net/pokedex/all","0101","Electrode","490","60","50","70","80","80","150"
"1707414551-137","https://pokemondb.net/pokedex/all","0101","Electrode
 Hisuian Electrode","490","60","50","70","80","80","150"
"1707414551-138","https://pokemondb.net/pokedex/all","0102","Exeggcute","325","60","40","80","60","45","40"
"1707414551-139","https://pokemondb.net/pokedex/all","0103","Exeggutor","530","95","95","85","125","75","55"
"1707414551-140","https://pokemondb.net/pokedex/all","0103","Exeggutor
 Alolan Exeggutor","530","95","105","85","125","75","45"
"1707414551-141","https://pokemondb.net/pokedex/all","0104","Cubone","320","50","50","95","40","50","35"
"1707414551-142","https://pokemondb.net/pokedex/all","0105","Marowak","425","60","80","110","50","80","45"
"1707414551-143","https://pokemondb.net/pokedex/all","0105","Marowak
 Alolan Marowak","425","60","80","110","50","80","45"
"1707414551-144","https://pokemondb.net/pokedex/all","0106","Hitmonlee","455","50","120","53","35","110","87"
"1707414551-145","https://pokemondb.net/pokedex/all","0107","Hitmonchan","455","50","105","79","35","110","76"
"1707414551-146","https://pokemondb.net/pokedex/all","0108","Lickitung","385","90","55","75","60","75","30"
"1707414551-147","https://pokemondb.net/pokedex/all","0109","Koffing","340","40","65","95","60","45","35"
"1707414551-148","https://pokemondb.net/pokedex/all","0110","Weezing","490","65","90","120","85","70","60"
"1707414551-149","https://pokemondb.net/pokedex/all","0110","Weezing
 Galarian Weezing","490","65","90","120","85","70","60"
"1707414551-150","https://pokemondb.net/pokedex/all","0111","Rhyhorn","345","80","85","95","30","30","25"
"1707414551-151","https://pokemondb.net/pokedex/all","0112","Rhydon","485","105","130","120","45","45","40"
"1707414551-152","https://pokemondb.net/pokedex/all","0113","Chansey","450","250","5","5","35","105","50"
"1707414551-153","https://pokemondb.net/pokedex/all","0114","Tangela","435","65","55","115","100","40","60"
"1707414551-154","https://pokemondb.net/pokedex/all","0115","Kangaskhan","490","105","95","80","40","80","90"
"1707414551-155","https://pokemondb.net/pokedex/all","0115","Kangaskhan
 Mega Kangaskhan","590","105","125","100","60","100","100"
"1707414551-156","https://pokemondb.net/pokedex/all","0116","Horsea","295","30","40","70","70","25","60"
"1707414551-157","https://pokemondb.net/pokedex/all","0117","Seadra","440","55","65","95","95","45","85"
"1707414551-158","https://pokemondb.net/pokedex/all","0118","Goldeen","320","45","67","60","35","50","63"
"1707414551-159","https://pokemondb.net/pokedex/all","0119","Seaking","450","80","92","65","65","80","68"
"1707414551-160","https://pokemondb.net/pokedex/all","0120","Staryu","340","30","45","55","70","55","85"
"1707414551-161","https://pokemondb.net/pokedex/all","0121","Starmie","520","60","75","85","100","85","115"
"1707414551-162","https://pokemondb.net/pokedex/all","0122","Mr. Mime","460","40","45","65","100","120","90"
"1707414551-163","https://pokemondb.net/pokedex/all","0122","Mr. Mime
 Galarian Mr. Mime","460","50","65","65","90","90","100"
"1707414551-164","https://pokemondb.net/pokedex/all","0123","Scyther","500","70","110","80","55","80","105"
"1707414551-165","https://pokemondb.net/pokedex/all","0124","Jynx","455","65","50","35","115","95","95"
"1707414551-166","https://pokemondb.net/pokedex/all","0125","Electabuzz","490","65","83","57","95","85","105"
"1707414551-167","https://pokemondb.net/pokedex/all","0126","Magmar","495","65","95","57","100","85","93"
"1707414551-168","https://pokemondb.net/pokedex/all","0127","Pinsir","500","65","125","100","55","70","85"
"1707414551-169","https://pokemondb.net/pokedex/all","0127","Pinsir
 Mega Pinsir","600","65","155","120","65","90","105"
"1707414551-170","https://pokemondb.net/pokedex/all","0128","Tauros","490","75","100","95","40","70","110"
"1707414551-171","https://pokemondb.net/pokedex/all","0128","Tauros
 Combat Breed","490","75","110","105","30","70","100"
"1707414551-172","https://pokemondb.net/pokedex/all","0128","Tauros
 Blaze Breed","490","75","110","105","30","70","100"
"1707414551-173","https://pokemondb.net/pokedex/all","0128","Tauros
 Aqua Breed","490","75","110","105","30","70","100"
"1707414551-174","https://pokemondb.net/pokedex/all","0129","Magikarp","200","20","10","55","15","20","80"
"1707414551-175","https://pokemondb.net/pokedex/all","0130","Gyarados","540","95","125","79","60","100","81"
"1707414551-176","https://pokemondb.net/pokedex/all","0130","Gyarados
 Mega Gyarados","640","95","155","109","70","130","81"
"1707414551-177","https://pokemondb.net/pokedex/all","0131","Lapras","535","130","85","80","85","95","60"
"1707414551-178","https://pokemondb.net/pokedex/all","0132","Ditto","288","48","48","48","48","48","48"
"1707414551-179","https://pokemondb.net/pokedex/all","0133","Eevee","325","55","55","50","45","65","55"
"1707414551-180","https://pokemondb.net/pokedex/all","0133","Eevee
 Partner Eevee","435","65","75","70","65","85","75"
"1707414551-181","https://pokemondb.net/pokedex/all","0134","Vaporeon","525","130","65","60","110","95","65"
"1707414551-182","https://pokemondb.net/pokedex/all","0135","Jolteon","525","65","65","60","110","95","130"
"1707414551-183","https://pokemondb.net/pokedex/all","0136","Flareon","525","65","130","60","95","110","65"
"1707414551-184","https://pokemondb.net/pokedex/all","0137","Porygon","395","65","60","70","85","75","40"
"1707414551-185","https://pokemondb.net/pokedex/all","0138","Omanyte","355","35","40","100","90","55","35"
"1707414551-186","https://pokemondb.net/pokedex/all","0139","Omastar","495","70","60","125","115","70","55"
"1707414551-187","https://pokemondb.net/pokedex/all","0140","Kabuto","355","30","80","90","55","45","55"
"1707414551-188","https://pokemondb.net/pokedex/all","0141","Kabutops","495","60","115","105","65","70","80"
"1707414551-189","https://pokemondb.net/pokedex/all","0142","Aerodactyl","515","80","105","65","60","75","130"
"1707414551-190","https://pokemondb.net/pokedex/all","0142","Aerodactyl
 Mega Aerodactyl","615","80","135","85","70","95","150"
"1707414551-191","https://pokemondb.net/pokedex/all","0143","Snorlax","540","160","110","65","65","110","30"
"1707414551-192","https://pokemondb.net/pokedex/all","0144","Articuno","580","90","85","100","95","125","85"
"1707414551-193","https://pokemondb.net/pokedex/all","0144","Articuno
 Galarian Articuno","580","90","85","85","125","100","95"
"1707414551-194","https://pokemondb.net/pokedex/all","0145","Zapdos","580","90","90","85","125","90","100"
"1707414551-195","https://pokemondb.net/pokedex/all","0145","Zapdos
 Galarian Zapdos","580","90","125","90","85","90","100"
"1707414551-196","https://pokemondb.net/pokedex/all","0146","Moltres","580","90","100","90","125","85","90"
"1707414551-197","https://pokemondb.net/pokedex/all","0146","Moltres
 Galarian Moltres","580","90","85","90","100","125","90"
"1707414551-198","https://pokemondb.net/pokedex/all","0147","Dratini","300","41","64","45","50","50","50"
"1707414551-199","https://pokemondb.net/pokedex/all","0148","Dragonair","420","61","84","65","70","70","70"
"1707414551-200","https://pokemondb.net/pokedex/all","0149","Dragonite","600","91","134","95","100","100","80"
"1707414551-201","https://pokemondb.net/pokedex/all","0150","Mewtwo","680","106","110","90","154","90","130"
"1707414551-202","https://pokemondb.net/pokedex/all","0150","Mewtwo
 Mega Mewtwo X","780","106","190","100","154","100","130"
"1707414551-203","https://pokemondb.net/pokedex/all","0150","Mewtwo
 Mega Mewtwo Y","780","106","150","70","194","120","140"
"1707414551-204","https://pokemondb.net/pokedex/all","0151","Mew","600","100","100","100","100","100","100"
"1707414551-205","https://pokemondb.net/pokedex/all","0152","Chikorita","318","45","49","65","49","65","45"
"1707414551-206","https://pokemondb.net/pokedex/all","0153","Bayleef","405","60","62","80","63","80","60"
"1707414551-207","https://pokemondb.net/pokedex/all","0154","Meganium","525","80","82","100","83","100","80"
"1707414551-208","https://pokemondb.net/pokedex/all","0155","Cyndaquil","309","39","52","43","60","50","65"
"1707414551-209","https://pokemondb.net/pokedex/all","0156","Quilava","405","58","64","58","80","65","80"
"1707414551-210","https://pokemondb.net/pokedex/all","0157","Typhlosion","534","78","84","78","109","85","100"
"1707414551-211","https://pokemondb.net/pokedex/all","0157","Typhlosion
 Hisuian Typhlosion","534","73","84","78","119","85","95"
"1707414551-212","https://pokemondb.net/pokedex/all","0158","Totodile","314","50","65","64","44","48","43"
"1707414551-213","https://pokemondb.net/pokedex/all","0159","Croconaw","405","65","80","80","59","63","58"
"1707414551-214","https://pokemondb.net/pokedex/all","0160","Feraligatr","530","85","105","100","79","83","78"
"1707414551-215","https://pokemondb.net/pokedex/all","0161","Sentret","215","35","46","34","35","45","20"
"1707414551-216","https://pokemondb.net/pokedex/all","0162","Furret","415","85","76","64","45","55","90"
"1707414551-217","https://pokemondb.net/pokedex/all","0163","Hoothoot","262","60","30","30","36","56","50"
"1707414551-218","https://pokemondb.net/pokedex/all","0164","Noctowl","452","100","50","50","86","96","70"
"1707414551-219","https://pokemondb.net/pokedex/all","0165","Ledyba","265","40","20","30","40","80","55"
"1707414551-220","https://pokemondb.net/pokedex/all","0166","Ledian","390","55","35","50","55","110","85"
"1707414551-221","https://pokemondb.net/pokedex/all","0167","Spinarak","250","40","60","40","40","40","30"
"1707414551-222","https://pokemondb.net/pokedex/all","0168","Ariados","400","70","90","70","60","70","40"
"1707414551-223","https://pokemondb.net/pokedex/all","0169","Crobat","535","85","90","80","70","80","130"
"1707414551-224","https://pokemondb.net/pokedex/all","0170","Chinchou","330","75","38","38","56","56","67"
"1707414551-225","https://pokemondb.net/pokedex/all","0171","Lanturn","460","125","58","58","76","76","67"
"1707414551-226","https://pokemondb.net/pokedex/all","0172","Pichu","205","20","40","15","35","35","60"
"1707414551-227","https://pokemondb.net/pokedex/all","0173","Cleffa","218","50","25","28","45","55","15"
"1707414551-228","https://pokemondb.net/pokedex/all","0174","Igglybuff","210","90","30","15","40","20","15"
"1707414551-229","https://pokemondb.net/pokedex/all","0175","Togepi","245","35","20","65","40","65","20"
"1707414551-230","https://pokemondb.net/pokedex/all","0176","Togetic","405","55","40","85","80","105","40"
"1707414551-231","https://pokemondb.net/pokedex/all","0177","Natu","320","40","50","45","70","45","70"
"1707414551-232","https://pokemondb.net/pokedex/all","0178","Xatu","470","65","75","70","95","70","95"
"1707414551-233","https://pokemondb.net/pokedex/all","0179","Mareep","280","55","40","40","65","45","35"
"1707414551-234","https://pokemondb.net/pokedex/all","0180","Flaaffy","365","70","55","55","80","60","45"
"1707414551-235","https://pokemondb.net/pokedex/all","0181","Ampharos","510","90","75","85","115","90","55"
"1707414551-236","https://pokemondb.net/pokedex/all","0181","Ampharos
 Mega Ampharos","610","90","95","105","165","110","45"
"1707414551-237","https://pokemondb.net/pokedex/all","0182","Bellossom","490","75","80","95","90","100","50"
"1707414551-238","https://pokemondb.net/pokedex/all","0183","Marill","250","70","20","50","20","50","40"
"1707414551-239","https://pokemondb.net/pokedex/all","0184","Azumarill","420","100","50","80","60","80","50"
"1707414551-240","https://pokemondb.net/pokedex/all","0185","Sudowoodo","410","70","100","115","30","65","30"
"1707414551-241","https://pokemondb.net/pokedex/all","0186","Politoed","500","90","75","75","90","100","70"
"1707414551-242","https://pokemondb.net/pokedex/all","0187","Hoppip","250","35","35","40","35","55","50"
"1707414551-243","https://pokemondb.net/pokedex/all","0188","Skiploom","340","55","45","50","45","65","80"
"1707414551-244","https://pokemondb.net/pokedex/all","0189","Jumpluff","460","75","55","70","55","95","110"
"1707414551-245","https://pokemondb.net/pokedex/all","0190","Aipom","360","55","70","55","40","55","85"
"1707414551-246","https://pokemondb.net/pokedex/all","0191","Sunkern","180","30","30","30","30","30","30"
"1707414551-247","https://pokemondb.net/pokedex/all","0192","Sunflora","425","75","75","55","105","85","30"
"1707414551-248","https://pokemondb.net/pokedex/all","0193","Yanma","390","65","65","45","75","45","95"
"1707414551-249","https://pokemondb.net/pokedex/all","0194","Wooper","210","55","45","45","25","25","15"
"1707414551-250","https://pokemondb.net/pokedex/all","0194","Wooper
 Paldean Wooper","210","55","45","45","25","25","15"
"1707414551-251","https://pokemondb.net/pokedex/all","0195","Quagsire","430","95","85","85","65","65","35"
"1707414551-252","https://pokemondb.net/pokedex/all","0196","Espeon","525","65","65","60","130","95","110"
"1707414551-253","https://pokemondb.net/pokedex/all","0197","Umbreon","525","95","65","110","60","130","65"
"1707414551-254","https://pokemondb.net/pokedex/all","0198","Murkrow","405","60","85","42","85","42","91"
"1707414551-255","https://pokemondb.net/pokedex/all","0199","Slowking","490","95","75","80","100","110","30"
"1707414551-256","https://pokemondb.net/pokedex/all","0199","Slowking
 Galarian Slowking","490","95","65","80","110","110","30"
"1707414551-257","https://pokemondb.net/pokedex/all","0200","Misdreavus","435","60","60","60","85","85","85"
"1707414551-258","https://pokemondb.net/pokedex/all","0201","Unown","336","48","72","48","72","48","48"
"1707414551-259","https://pokemondb.net/pokedex/all","0202","Wobbuffet","405","190","33","58","33","58","33"
"1707414551-260","https://pokemondb.net/pokedex/all","0203","Girafarig","455","70","80","65","90","65","85"
"1707414551-261","https://pokemondb.net/pokedex/all","0204","Pineco","290","50","65","90","35","35","15"
"1707414551-262","https://pokemondb.net/pokedex/all","0205","Forretress","465","75","90","140","60","60","40"
"1707414551-263","https://pokemondb.net/pokedex/all","0206","Dunsparce","415","100","70","70","65","65","45"
"1707414551-264","https://pokemondb.net/pokedex/all","0207","Gligar","430","65","75","105","35","65","85"
"1707414551-265","https://pokemondb.net/pokedex/all","0208","Steelix","510","75","85","200","55","65","30"
"1707414551-266","https://pokemondb.net/pokedex/all","0208","Steelix
 Mega Steelix","610","75","125","230","55","95","30"
"1707414551-267","https://pokemondb.net/pokedex/all","0209","Snubbull","300","60","80","50","40","40","30"
"1707414551-268","https://pokemondb.net/pokedex/all","0210","Granbull","450","90","120","75","60","60","45"
"1707414551-269","https://pokemondb.net/pokedex/all","0211","Qwilfish","440","65","95","85","55","55","85"
"1707414551-270","https://pokemondb.net/pokedex/all","0211","Qwilfish
 Hisuian Qwilfish","440","65","95","85","55","55","85"
"1707414551-271","https://pokemondb.net/pokedex/all","0212","Scizor","500","70","130","100","55","80","65"
