"Pokemon","Move","Type","Power","Acc","Lvl","HM","TM","Method"
"Venusaur","Mega Drain","Grass","40","100",NA,NA,21,"Technical Machine"
"Venusaur","SolarBeam","Grass","120","100",NA,NA,22,"Technical Machine"
"Venusaur","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Venusaur","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Venusaur","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Venusaur","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Venusaur","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Venusaur","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Charmander","Growl","Normal","—","100",1,NA,NA,"Level up"
"Charmander","Scratch","Normal","40","100",1,NA,NA,"Level up"
"Charmander","Ember","Fire","40","100",9,NA,NA,"Level up"
"Charmander","Leer","Normal","—","100",15,NA,NA,"Level up"
"Charmander","Rage","Normal","20","100",22,NA,NA,"Level up"
"Charmander","Slash","Normal","70","100",30,NA,NA,"Level up"
"Charmander","Flamethrower","Fire","95","100",38,NA,NA,"Level up"
"Charmander","Fire Spin","Fire","15","70",46,NA,NA,"Level up"
"Charmander","Cut","Normal","50","95",NA,1,NA,"Hidden Machine"
"Charmander","Strength","Normal","80","100",NA,4,NA,"Hidden Machine"
"Charmander","Mega Punch","Normal","80","85",NA,NA,1,"Technical Machine"
"Charmander","Swords Dance","Normal","—","—",NA,NA,3,"Technical Machine"
"Charmander","Mega Kick","Normal","120","75",NA,NA,5,"Technical Machine"
"Charmander","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Charmander","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Charmander","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Charmander","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Charmander","Submission","Fighting","80","80",NA,NA,17,"Technical Machine"
"Charmander","Counter","Fighting","—","100",NA,NA,18,"Technical Machine"
"Charmander","Seismic Toss","Fighting","—","100",NA,NA,19,"Technical Machine"
"Charmander","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Charmander","Dragon Rage","Dragon","—","100",NA,NA,23,"Technical Machine"
"Charmander","Dig","Ground","100","100",NA,NA,28,"Technical Machine"
"Charmander","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Charmander","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Charmander","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Charmander","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Charmander","Fire Blast","Fire","120","85",NA,NA,38,"Technical Machine"
"Charmander","Swift","Normal","60","∞",NA,NA,39,"Technical Machine"
"Charmander","Skull Bash","Normal","100","100",NA,NA,40,"Technical Machine"
"Charmander","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Charmander","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Charmeleon","Ember","Fire","40","100",1,NA,NA,"Level up"
"Charmeleon","Growl","Normal","—","100",1,NA,NA,"Level up"
"Charmeleon","Scratch","Normal","40","100",1,NA,NA,"Level up"
"Charmeleon","Ember","Fire","40","100",9,NA,NA,"Level up"
"Charmeleon","Leer","Normal","—","100",15,NA,NA,"Level up"
"Charmeleon","Rage","Normal","20","100",24,NA,NA,"Level up"
"Charmeleon","Slash","Normal","70","100",33,NA,NA,"Level up"
"Charmeleon","Flamethrower","Fire","95","100",42,NA,NA,"Level up"
"Charmeleon","Fire Spin","Fire","15","70",56,NA,NA,"Level up"
"Charmeleon","Cut","Normal","50","95",NA,1,NA,"Hidden Machine"
"Charmeleon","Strength","Normal","80","100",NA,4,NA,"Hidden Machine"
"Charmeleon","Mega Punch","Normal","80","85",NA,NA,1,"Technical Machine"
"Charmeleon","Swords Dance","Normal","—","—",NA,NA,3,"Technical Machine"
"Charmeleon","Mega Kick","Normal","120","75",NA,NA,5,"Technical Machine"
"Charmeleon","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Charmeleon","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Charmeleon","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Charmeleon","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Charmeleon","Submission","Fighting","80","80",NA,NA,17,"Technical Machine"
"Charmeleon","Counter","Fighting","—","100",NA,NA,18,"Technical Machine"
"Charmeleon","Seismic Toss","Fighting","—","100",NA,NA,19,"Technical Machine"
"Charmeleon","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Charmeleon","Dragon Rage","Dragon","—","100",NA,NA,23,"Technical Machine"
"Charmeleon","Dig","Ground","100","100",NA,NA,28,"Technical Machine"
"Charmeleon","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Charmeleon","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Charmeleon","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Charmeleon","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Charmeleon","Fire Blast","Fire","120","85",NA,NA,38,"Technical Machine"
"Charmeleon","Swift","Normal","60","∞",NA,NA,39,"Technical Machine"
"Charmeleon","Skull Bash","Normal","100","100",NA,NA,40,"Technical Machine"
"Charmeleon","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Charmeleon","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Charizard","Ember","Fire","40","100",1,NA,NA,"Level up"
"Charizard","Growl","Normal","—","100",1,NA,NA,"Level up"
"Charizard","Leer","Normal","—","100",1,NA,NA,"Level up"
"Charizard","Scratch","Normal","40","100",1,NA,NA,"Level up"
"Charizard","Ember","Fire","40","100",9,NA,NA,"Level up"
"Charizard","Leer","Normal","—","100",15,NA,NA,"Level up"
"Charizard","Rage","Normal","20","100",24,NA,NA,"Level up"
"Charizard","Slash","Normal","70","100",36,NA,NA,"Level up"
"Charizard","Flamethrower","Fire","95","100",46,NA,NA,"Level up"
"Charizard","Fire Spin","Fire","15","70",55,NA,NA,"Level up"
"Charizard","Cut","Normal","50","95",NA,1,NA,"Hidden Machine"
"Charizard","Strength","Normal","80","100",NA,4,NA,"Hidden Machine"
"Charizard","Mega Punch","Normal","80","85",NA,NA,1,"Technical Machine"
"Charizard","Swords Dance","Normal","—","—",NA,NA,3,"Technical Machine"
"Charizard","Mega Kick","Normal","120","75",NA,NA,5,"Technical Machine"
"Charizard","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Charizard","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Charizard","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Charizard","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Charizard","Hyper Beam","Normal","150","90",NA,NA,15,"Technical Machine"
"Charizard","Submission","Fighting","80","80",NA,NA,17,"Technical Machine"
"Charizard","Counter","Fighting","—","100",NA,NA,18,"Technical Machine"
"Charizard","Seismic Toss","Fighting","—","100",NA,NA,19,"Technical Machine"
"Charizard","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Charizard","Dragon Rage","Dragon","—","100",NA,NA,23,"Technical Machine"
"Charizard","Earthquake","Ground","100","100",NA,NA,26,"Technical Machine"
"Charizard","Fissure","Ground","—","30",NA,NA,27,"Technical Machine"
"Charizard","Dig","Ground","100","100",NA,NA,28,"Technical Machine"
"Charizard","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Charizard","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Charizard","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Charizard","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Charizard","Fire Blast","Fire","120","85",NA,NA,38,"Technical Machine"
"Charizard","Swift","Normal","60","∞",NA,NA,39,"Technical Machine"
"Charizard","Skull Bash","Normal","100","100",NA,NA,40,"Technical Machine"
"Charizard","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Charizard","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Squirtle","Tackle","Normal","35","95",1,NA,NA,"Level up"
"Squirtle","Tail Whip","Normal","—","100",1,NA,NA,"Level up"
"Squirtle","Bubble","Water","20","100",8,NA,NA,"Level up"
"Squirtle","Water Gun","Water","40","100",15,NA,NA,"Level up"
"Squirtle","Bite","Normal","60","100",22,NA,NA,"Level up"
"Squirtle","Withdraw","Water","—","—",28,NA,NA,"Level up"
"Squirtle","Skull Bash","Normal","100","100",35,NA,NA,"Level up"
"Squirtle","Hydro Pump","Water","120","80",42,NA,NA,"Level up"
"Squirtle","Surf","Water","95","100",NA,3,NA,"Hidden Machine"
"Squirtle","Strength","Normal","80","100",NA,4,NA,"Hidden Machine"
"Squirtle","Mega Punch","Normal","80","85",NA,NA,1,"Technical Machine"
"Squirtle","Mega Kick","Normal","120","75",NA,NA,5,"Technical Machine"
"Squirtle","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Squirtle","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Squirtle","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Squirtle","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Squirtle","BubbleBeam","Water","65","100",NA,NA,11,"Technical Machine"
"Squirtle","Water Gun","Water","40","100",NA,NA,12,"Technical Machine"
"Squirtle","Ice Beam","Ice","95","100",NA,NA,13,"Technical Machine"
"Squirtle","Blizzard","Ice","120","90",NA,NA,14,"Technical Machine"
"Squirtle","Submission","Fighting","80","80",NA,NA,17,"Technical Machine"
"Squirtle","Counter","Fighting","—","100",NA,NA,18,"Technical Machine"
"Squirtle","Seismic Toss","Fighting","—","100",NA,NA,19,"Technical Machine"
"Squirtle","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Squirtle","Dig","Ground","100","100",NA,NA,28,"Technical Machine"
"Squirtle","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Squirtle","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Squirtle","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Squirtle","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Squirtle","Skull Bash","Normal","100","100",NA,NA,40,"Technical Machine"
"Squirtle","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Squirtle","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Wartortle","Bubble","Water","20","100",1,NA,NA,"Level up"
"Wartortle","Tackle","Normal","35","95",1,NA,NA,"Level up"
"Wartortle","Tail Whip","Normal","—","100",1,NA,NA,"Level up"
"Wartortle","Bubble","Water","20","100",8,NA,NA,"Level up"
"Wartortle","Water Gun","Water","40","100",15,NA,NA,"Level up"
"Wartortle","Bite","Normal","60","100",24,NA,NA,"Level up"
"Wartortle","Withdraw","Water","—","—",31,NA,NA,"Level up"
"Wartortle","Skull Bash","Normal","100","100",39,NA,NA,"Level up"
"Wartortle","Hydro Pump","Water","120","80",47,NA,NA,"Level up"
"Wartortle","Surf","Water","95","100",NA,3,NA,"Hidden Machine"
"Wartortle","Strength","Normal","80","100",NA,4,NA,"Hidden Machine"
"Wartortle","Mega Punch","Normal","80","85",NA,NA,1,"Technical Machine"
"Wartortle","Mega Kick","Normal","120","75",NA,NA,5,"Technical Machine"
"Wartortle","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Wartortle","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Wartortle","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Wartortle","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Wartortle","BubbleBeam","Water","65","100",NA,NA,11,"Technical Machine"
"Wartortle","Water Gun","Water","40","100",NA,NA,12,"Technical Machine"
"Wartortle","Ice Beam","Ice","95","100",NA,NA,13,"Technical Machine"
"Wartortle","Blizzard","Ice","120","90",NA,NA,14,"Technical Machine"
"Wartortle","Submission","Fighting","80","80",NA,NA,17,"Technical Machine"
"Wartortle","Counter","Fighting","—","100",NA,NA,18,"Technical Machine"
"Wartortle","Seismic Toss","Fighting","—","100",NA,NA,19,"Technical Machine"
"Wartortle","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Wartortle","Dig","Ground","100","100",NA,NA,28,"Technical Machine"
"Wartortle","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Wartortle","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Wartortle","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Wartortle","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Wartortle","Skull Bash","Normal","100","100",NA,NA,40,"Technical Machine"
"Wartortle","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Wartortle","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Blastoise","Bubble","Water","20","100",1,NA,NA,"Level up"
"Blastoise","Tackle","Normal","35","95",1,NA,NA,"Level up"
"Blastoise","Tail Whip","Normal","—","100",1,NA,NA,"Level up"
"Blastoise","Water Gun","Water","40","100",1,NA,NA,"Level up"
"Blastoise","Bubble","Water","20","100",8,NA,NA,"Level up"
"Blastoise","Water Gun","Water","40","100",15,NA,NA,"Level up"
"Blastoise","Bite","Normal","60","100",24,NA,NA,"Level up"
"Blastoise","Withdraw","Water","—","—",31,NA,NA,"Level up"
"Blastoise","Skull Bash","Normal","100","100",42,NA,NA,"Level up"
"Blastoise","Hydro Pump","Water","120","80",52,NA,NA,"Level up"
"Blastoise","Surf","Water","95","100",NA,3,NA,"Hidden Machine"
"Blastoise","Strength","Normal","80","100",NA,4,NA,"Hidden Machine"
"Blastoise","Mega Punch","Normal","80","85",NA,NA,1,"Technical Machine"
"Blastoise","Mega Kick","Normal","120","75",NA,NA,5,"Technical Machine"
"Blastoise","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Blastoise","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Blastoise","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Blastoise","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Blastoise","BubbleBeam","Water","65","100",NA,NA,11,"Technical Machine"
"Blastoise","Water Gun","Water","40","100",NA,NA,12,"Technical Machine"
"Blastoise","Ice Beam","Ice","95","100",NA,NA,13,"Technical Machine"
"Blastoise","Blizzard","Ice","120","90",NA,NA,14,"Technical Machine"
"Blastoise","Hyper Beam","Normal","150","90",NA,NA,15,"Technical Machine"
"Blastoise","Submission","Fighting","80","80",NA,NA,17,"Technical Machine"
"Blastoise","Counter","Fighting","—","100",NA,NA,18,"Technical Machine"
"Blastoise","Seismic Toss","Fighting","—","100",NA,NA,19,"Technical Machine"
"Blastoise","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Blastoise","Earthquake","Ground","100","100",NA,NA,26,"Technical Machine"
"Blastoise","Fissure","Ground","—","30",NA,NA,27,"Technical Machine"
"Blastoise","Dig","Ground","100","100",NA,NA,28,"Technical Machine"
"Blastoise","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Blastoise","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Blastoise","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Blastoise","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Blastoise","Skull Bash","Normal","100","100",NA,NA,40,"Technical Machine"
"Blastoise","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Blastoise","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Caterpie","String Shot","Bug","—","95",1,NA,NA,"Level up"
"Caterpie","Tackle","Normal","35","95",1,NA,NA,"Level up"
"Metapod","Harden","Normal","—","—",1,NA,NA,"Level up"
"Butterfree","Confusion","Psychic","50","100",1,NA,NA,"Level up"
"Butterfree","Confusion","Psychic","50","100",12,NA,NA,"Level up"
"Butterfree","PoisonPowder","Poison","—","75",15,NA,NA,"Level up"
"Butterfree","Stun Spore","Grass","—","75",16,NA,NA,"Level up"
"Butterfree","Sleep Powder","Grass","—","75",17,NA,NA,"Level up"
"Butterfree","Supersonic","Normal","—","55",21,NA,NA,"Level up"
"Butterfree","Whirlwind","Normal","—","85",26,NA,NA,"Level up"
"Butterfree","Psybeam","Psychic","65","100",32,NA,NA,"Level up"
"Butterfree","Razor Wind","Normal","80","75",NA,NA,2,"Technical Machine"
"Butterfree","Whirlwind","Normal","—","85",NA,NA,4,"Technical Machine"
"Butterfree","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Butterfree","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Butterfree","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Butterfree","Hyper Beam","Normal","150","90",NA,NA,15,"Technical Machine"
"Butterfree","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Butterfree","Mega Drain","Grass","40","100",NA,NA,21,"Technical Machine"
"Butterfree","SolarBeam","Grass","120","100",NA,NA,22,"Technical Machine"
"Butterfree","Psychic","Psychic","90","100",NA,NA,29,"Technical Machine"
"Butterfree","Teleport","Psychic","—","—",NA,NA,30,"Technical Machine"
"Butterfree","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Butterfree","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Butterfree","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Butterfree","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Butterfree","Swift","Normal","60","∞",NA,NA,39,"Technical Machine"
"Butterfree","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Butterfree","Psywave","Psychic","—","80",NA,NA,46,"Technical Machine"
"Butterfree","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Weedle","Poison Sting","Poison","15","100",1,NA,NA,"Level up"
"Weedle","String Shot","Bug","—","95",1,NA,NA,"Level up"
"Kakuna","Harden","Normal","—","—",1,NA,NA,"Level up"
"Beedrill","Fury Attack","Normal","15","85",1,NA,NA,"Level up"
"Beedrill","Fury Attack","Normal","15","85",12,NA,NA,"Level up"
"Beedrill","Focus Energy","Normal","—","—",16,NA,NA,"Level up"
"Beedrill","Twineedle","Bug","25","100",20,NA,NA,"Level up"
"Beedrill","Rage","Normal","20","100",25,NA,NA,"Level up"
"Beedrill","Pin Missile","Bug","14","85",30,NA,NA,"Level up"
"Beedrill","Agility","Psychic","—","—",35,NA,NA,"Level up"
"Beedrill","Cut","Normal","50","95",NA,1,NA,"Hidden Machine"
"Beedrill","Swords Dance","Normal","—","—",NA,NA,3,"Technical Machine"
"Beedrill","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Beedrill","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Beedrill","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Beedrill","Hyper Beam","Normal","150","90",NA,NA,15,"Technical Machine"
"Beedrill","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Beedrill","Mega Drain","Grass","40","100",NA,NA,21,"Technical Machine"
"Beedrill","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Beedrill","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Beedrill","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Beedrill","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Beedrill","Swift","Normal","60","∞",NA,NA,39,"Technical Machine"
"Beedrill","Skull Bash","Normal","100","100",NA,NA,40,"Technical Machine"
"Beedrill","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Beedrill","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Pidgey","Gust","Normal","40","100",1,NA,NA,"Level up"
"Pidgey","Sand-Attack","Normal","—","100",5,NA,NA,"Level up"
"Pidgey","Quick Attack","Normal","40","100",12,NA,NA,"Level up"
"Pidgey","Whirlwind","Normal","—","85",19,NA,NA,"Level up"
"Pidgey","Wing Attack","Flying","35","100",28,NA,NA,"Level up"
"Pidgey","Agility","Psychic","—","—",36,NA,NA,"Level up"
"Pidgey","Mirror Move","Flying","—","—",44,NA,NA,"Level up"
"Pidgey","Fly","Flying","70","95",NA,2,NA,"Hidden Machine"
"Pidgey","Razor Wind","Normal","80","75",NA,NA,2,"Technical Machine"
"Pidgey","Whirlwind","Normal","—","85",NA,NA,4,"Technical Machine"
"Pidgey","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Pidgey","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Pidgey","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Pidgey","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Pidgey","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Pidgey","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Pidgey","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Pidgey","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Pidgey","Swift","Normal","60","∞",NA,NA,39,"Technical Machine"
"Pidgey","Sky Attack","Flying","140","90",NA,NA,43,"Technical Machine"
"Pidgey","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Pidgey","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Pidgeotto","Gust","Normal","40","100",1,NA,NA,"Level up"
"Pidgeotto","Sand-Attack","Normal","—","100",1,NA,NA,"Level up"
"Pidgeotto","Sand-Attack","Normal","—","100",5,NA,NA,"Level up"
"Pidgeotto","Quick Attack","Normal","40","100",12,NA,NA,"Level up"
"Pidgeotto","Whirlwind","Normal","—","85",21,NA,NA,"Level up"
"Pidgeotto","Wing Attack","Flying","35","100",31,NA,NA,"Level up"
"Pidgeotto","Agility","Psychic","—","—",40,NA,NA,"Level up"
"Pidgeotto","Mirror Move","Flying","—","—",49,NA,NA,"Level up"
"Pidgeotto","Fly","Flying","70","95",NA,2,NA,"Hidden Machine"
"Pidgeotto","Razor Wind","Normal","80","75",NA,NA,2,"Technical Machine"
"Pidgeotto","Whirlwind","Normal","—","85",NA,NA,4,"Technical Machine"
"Pidgeotto","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Pidgeotto","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Pidgeotto","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Pidgeotto","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Pidgeotto","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Pidgeotto","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Pidgeotto","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Pidgeotto","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
